"id","job_key","customer_id","artisan_id","request_type_id","location_id","address","service_type","schedule","description","status","created_at","updated_at","contact_person_name","contact_person_phone"
"4","FUN/JOB/IND/00000004","13","","","2","","individual","2022-07-21 10:21:00","","accepted","2022-05-07T07:44:20.000000Z","2022-10-31T06:35:34.000000Z","",""
"44","FUN/JOB/IND/00000021","2","","","18","","individual","2022-06-25 22:41:15","Come and burn the building","pending","2022-06-04T18:41:29.000000Z","2022-10-31T06:35:34.000000Z","",""
"45","FUN/JOB/IND/00000022","41","","","15","","individual","2022-06-08 09:13:33","broken pipe 2","pending","2022-06-07T03:13:48.000000Z","2022-10-31T06:35:34.000000Z","",""
"46","FUN/JOB/IND/00000023","41","","","12","","individual","2022-06-02 00:00:00","plumbing","pending","2022-06-07T03:14:45.000000Z","2022-10-31T06:35:34.000000Z","",""
"47","FUN/JOB/IND/00000024","41","","","10","","individual","2022-06-01 09:15:23","plumbing fixes","pending","2022-06-07T03:15:41.000000Z","2022-10-31T06:35:34.000000Z","",""
"48","FUN/JOB/IND/00000025","41","","","52","","individual","2022-06-27 09:26:57","Job at Utawala","pending","2022-06-07T03:27:19.000000Z","2022-10-31T06:35:34.000000Z","",""
"49","FUN/JOB/IND/00000026","55","182","","83","","individual","2022-06-08 08:49:18","Quia quis quia in si","accepted","2022-06-07T04:49:47.000000Z","2022-10-31T06:35:34.000000Z","",""
"50","FUN/JOB/IND/00000027","41","","","20","","individual","2022-06-28 14:34:39","parklands job","pending","2022-06-07T08:35:01.000000Z","2022-10-31T06:35:35.000000Z","",""
"59","FUN/JOB/IND/00000036","2","","","8","2 tayo shonubi crescent","individual","2022-06-15 15:09:16","Broken pipes","pending","2022-06-13T11:25:26.000000Z","2022-10-31T06:35:35.000000Z","",""
"60","FUN/JOB/IND/00000037","2","","","83","2 tayo shonubi crescent","individual","2022-06-15 15:29:44","Burn burn","pending","2022-06-13T11:31:03.000000Z","2022-10-31T06:35:35.000000Z","",""
"61","FUN/JOB/IND/00000038","2","","","11","Dolor laboriosam so","individual","2022-06-15 21:23:37","Officiis numquam ea","pending","2022-06-15T17:23:46.000000Z","2022-10-31T06:35:35.000000Z","",""
"62","FUN/JOB/IND/00000039","2","","","8","Aut ut reprehenderit","individual","2022-06-16 22:10:26","Facilis impedit iru","pending","2022-06-16T18:10:34.000000Z","2022-10-31T06:35:35.000000Z","",""
"69","FUN/JOB/IND/00000046","2","","","16","Consectetur pariatur","individual","2022-06-19 20:55:25","Quam fugit quis dol","pending","2022-06-18T16:55:34.000000Z","2022-10-31T06:35:35.000000Z","",""
"70","FUN/JOB/IND/00000047","2","","","14","Eligendi sapiente et","individual","2022-06-30 01:07:02","I want to dance","pending","2022-06-20T21:08:03.000000Z","2022-10-31T06:35:35.000000Z","",""
"71","FUN/JOB/IND/00000048","2","","","11","2, Yaho","individual","2022-07-30 01:07:02","I want to bambam","pending","2022-06-20T21:08:03.000000Z","2022-10-31T06:35:35.000000Z","",""
"72","FUN/JOB/IND/00000049","2","","","13","Eligendi sapiente et","individual","2022-06-30 01:11:21","kk","pending","2022-06-20T21:12:30.000000Z","2022-10-31T06:35:35.000000Z","",""
"82","FUN/JOB/IND/00000059","2","","","14","Qui fugiat dolores n","individual","2022-06-30 14:18:13","this is it","pending","2022-06-27T11:01:49.000000Z","2022-10-31T06:35:35.000000Z","",""
"88","FUN/JOB/BUS/00000002","2","66","","12","Et excepturi alias v","business","2022-07-13 22:40:10","Eiusmod minus dicta","accepted","2022-07-13T18:40:24.000000Z","2022-10-31T06:35:35.000000Z","",""
"89","FUN/JOB/BUS/00000003","2","","","8","Voluptas saepe labor","business","2022-07-13 22:49:16","Qui amet et quibusd","pending","2022-07-13T18:49:41.000000Z","2022-10-31T06:35:35.000000Z","",""
"90","FUN/JOB/BUS/00000004","2","","","10","Ipsum magnam ad ips","business","2022-07-13 22:49:16","Voluptates esse ea","pending","2022-07-13T18:49:41.000000Z","2022-10-31T06:35:35.000000Z","",""
"92","FUN/JOB/BUS/00000005","93","395","","15","Quidem qui consectet","business","2022-07-15 21:06:18","Impedit magnam qui","accepted","2022-07-15T17:06:43.000000Z","2023-04-19T15:58:25.000000Z","",""
"93","FUN/JOB/BUS/00000006","93","","","14","Quia consequatur la","business","2022-07-15 21:06:18","Asperiores sequi err","cancel","2022-07-15T17:06:43.000000Z","2022-10-31T06:35:35.000000Z","",""
"94","FUN/JOB/IND/00000065","93","","","7","Reprehenderit ea non","individual","2022-07-22 11:10:57","Minim sequi exercita","pending","2022-07-16T07:11:15.000000Z","2022-10-31T06:35:35.000000Z","",""
"96","FUN/JOB/BUS/00000007","107","","","7","48495","business","2022-07-28 08:16:47","Hairdressing for a wedding","pending","2022-07-28T02:17:34.000000Z","2022-10-31T06:35:35.000000Z","",""
"97","FUN/JOB/BUS/00000008","107","","","7","48495","business","2022-07-28 08:17:51","Wiring for my chain of apartments","pending","2022-07-28T02:18:11.000000Z","2022-10-31T06:35:35.000000Z","",""
"98","FUN/JOB/BUS/00000009","107","","","7","48495","business","2022-07-28 08:18:17","Wiring for my apartment","accepted","2022-07-28T02:19:21.000000Z","2022-10-31T06:35:35.000000Z","",""
"101","FUN/JOB/IND/00000068","107","","","7","Reata Apartments","individual","2022-08-21 13:09:41","Fix sink","pending","2022-08-20T07:11:24.000000Z","2022-10-31T06:35:35.000000Z","",""
"102","FUN/JOB/IND/00000069","107","","","8","kkk adress","individual","2022-08-21 14:54:14","job fix","pending","2022-08-20T08:54:51.000000Z","2022-10-31T06:35:35.000000Z","",""
"103","FUN/JOB/IND/00000070","107","","","15","kkk adress","individual","2022-08-22 14:54:14","fix electricty","pending","2022-08-20T08:54:51.000000Z","2022-10-31T06:35:35.000000Z","",""
"114","FUN/JOB/IND/00000077","93","","","6","Ikorodu, Lagos","individual","2022-08-26 17:29:17","I want an electrician","pending","2022-08-25T13:31:03.000000Z","2022-10-31T06:35:35.000000Z","",""
"115","FUN/JOB/IND/00000078","93","66","","3","Omnis nihil occaecat","individual","2022-08-26 17:32:27","Numquam qui eveniet","accepted","2022-08-25T13:33:16.000000Z","2022-10-31T06:35:35.000000Z","",""
